date,equity,cash,positions_count
2025-11-05,100000000.0,100000000.0,0
2025-11-06,100000000.0,14679340.0,5
2025-11-07,96836410.0,96836410.0,0
2025-11-10,96836410.0,96836410.0,0
2025-11-11,96836410.0,96836410.0,0
2025-11-12,96836410.0,14663710.0,5
2025-11-13,97208110.0,48017110.0,3
2025-11-14,98201110.0,98201110.0,0
2025-11-17,98201110.0,14517110.0,5
2025-11-18,100833510.0,86449510.0,1
2025-11-19,100049510.0,100049510.0,0
2025-11-20,100049510.0,100049510.0,0
2025-11-21,100049510.0,14748810.0,5
2025-11-24,100052110.0,45268810.0,3
2025-11-25,99953210.0,99953210.0,0
2025-11-26,99953210.0,16052310.0,5
2025-11-27,102579510.0,102579510.0,0
2025-11-28,102579510.0,102579510.0,0
2025-12-01,102579510.0,102579510.0,0
2025-12-02,102579510.0,102579510.0,0
2025-12-03,102579510.0,102579510.0,0
2025-12-04,102579510.0,15282010.0,5
2025-12-05,105718760.0,87266560.0,1
