date,equity,cash,positions_count
2024-12-05,100000000.0,100000000.0,0
2024-12-06,100000000.0,76264750.0,1
2024-12-09,98424500.0,56457595.0,5
2024-12-10,96422625.0,54962725.0,5
2024-12-11,96690875.0,55393055.0,5
2024-12-12,97156425.0,56004125.0,5
2024-12-13,99891375.0,52455385.0,2
2024-12-16,104646575.0,54086085.0,2
2024-12-17,107325705.0,55398445.0,2
2024-12-18,105609525.0,61655215.0,5
2024-12-19,105740745.0,61392575.0,5
2024-12-20,104756910.0,104756910.0,0
2024-12-23,104756910.0,104756910.0,0
2024-12-24,104756910.0,79880982.0,1
2024-12-25,105679950.0,60753222.0,5
2024-12-26,105679950.0,60753222.0,5
2024-12-27,104947993.0,60131847.0,5
2024-12-30,104926263.0,60058748.0,5
2024-12-31,105710396.0,60572634.0,5
2025-01-01,105710396.0,60572634.0,5
2025-01-02,105710396.0,60572634.0,5
2025-01-03,105722030.0,61002380.0,5
2025-01-06,106249755.0,61131955.0,5
2025-01-07,106421005.0,56027005.0,2
2025-01-08,106750205.0,54933541.0,2
2025-01-09,105928345.0,55576095.0,2
2025-01-10,106318845.0,55924845.0,2
2025-01-13,105344345.0,60535851.0,5
2025-01-14,105489915.0,80443775.0,1
2025-01-15,105643145.0,80609045.0,1
2025-01-16,106544045.0,106544045.0,0
2025-01-17,106544045.0,81264245.0,1
2025-01-20,106960745.0,81633545.0,1
2025-01-21,107185645.0,61374430.0,5
2025-01-22,106752245.0,61363001.0,5
2025-01-23,107188205.0,61658175.0,5
2025-01-24,105700035.0,60516935.0,5
2025-01-27,105850785.0,60859285.0,5
2025-01-28,105850785.0,60859285.0,5
2025-01-29,105850785.0,60859285.0,5
2025-01-30,105850785.0,60859285.0,5
2025-01-31,105850785.0,60859285.0,5
2025-02-03,106426685.0,61074185.0,5
2025-02-04,105837985.0,105837985.0,0
2025-02-05,105837985.0,80818985.0,1
2025-02-06,105916785.0,60675345.0,5
2025-02-07,105827335.0,60559495.0,5
2025-02-10,104533245.0,59591952.0,5
2025-02-11,103630171.0,54453271.0,2
2025-02-12,112782421.0,59214121.0,2
2025-02-13,119768521.0,63121424.0,2
2025-02-14,119229132.0,63121424.0,2
2025-02-17,118390372.0,61605824.0,2
2025-02-18,124913699.0,71684119.0,5
2025-02-19,124980349.0,72103619.0,5
2025-02-20,125039429.0,65730929.0,2
2025-02-21,123502429.0,65367229.0,2
2025-02-24,124978629.0,64276129.0,2
2025-02-25,125559129.0,71948329.0,5
2025-02-26,125087429.0,71881281.0,5
2025-02-27,125429458.0,95658958.0,1
2025-02-28,124425958.0,95658958.0,1
2025-03-03,125373708.0,125373708.0,0
2025-03-04,125373708.0,125373708.0,0
2025-03-05,125373708.0,125373708.0,0
2025-03-06,125373708.0,125373708.0,0
2025-03-07,125373708.0,125373708.0,0
2025-03-10,125373708.0,125373708.0,0
2025-03-11,125373708.0,71799008.0,5
2025-03-12,125056358.0,71378338.0,5
2025-03-13,124058638.0,71105598.0,5
2025-03-14,125404578.0,71938368.0,5
2025-03-17,125062688.0,71970198.0,5
2025-03-18,125819793.0,66140893.0,2
2025-03-19,126611243.0,66271743.0,2
2025-03-20,126826043.0,66786063.0,2
2025-03-21,124410843.0,65400143.0,2
2025-03-24,125883193.0,65400143.0,2
2025-03-25,125243993.0,65777593.0,2
2025-03-26,134279833.0,70493223.0,2
2025-03-27,131405313.0,70455063.0,2
2025-03-28,132968163.0,69828363.0,2
2025-03-31,131275363.0,75219333.0,5
2025-04-01,129222023.0,129222023.0,0
2025-04-02,129222023.0,74060883.0,5
2025-04-03,128277858.0,128277858.0,0
2025-04-04,128277858.0,128277858.0,0
2025-04-07,128277858.0,128277858.0,0
2025-04-08,128277858.0,128277858.0,0
2025-04-09,128277858.0,128277858.0,0
2025-04-10,128277858.0,128277858.0,0
2025-04-11,128277858.0,75032016.0,5
2025-04-14,129396948.0,74143748.0,5
2025-04-15,129407948.0,68043648.0,2
2025-04-16,129648848.0,67965938.0,2
2025-04-17,128885028.0,68339838.0,2
2025-04-18,130804638.0,75095984.0,5
2025-04-21,130999789.0,75022919.0,5
2025-04-22,131149819.0,74577719.0,5
2025-04-23,134602169.0,102696169.0,1
2025-04-24,134231169.0,77289459.0,5
2025-04-25,135092569.0,77933969.0,5
2025-04-28,136793569.0,78462249.0,5
2025-04-29,134613669.0,77089819.0,5
2025-04-30,135784909.0,77428759.0,5
2025-05-01,133786359.0,76604503.0,5
2025-05-02,133786359.0,76604503.0,5
2025-05-05,133297478.0,101653778.0,1
2025-05-06,133297478.0,101653778.0,1
2025-05-07,133297478.0,101653778.0,1
2025-05-08,135572078.0,77699398.0,5
2025-05-09,134856198.0,77066818.0,5
2025-05-12,133728898.0,76554588.0,5
2025-05-13,134297288.0,70622388.0,2
2025-05-14,136980688.0,71930988.0,2
2025-05-15,148348788.0,78105588.0,2
2025-05-16,143753188.0,74719908.0,2
2025-05-19,145580048.0,74719908.0,2
2025-05-20,144238448.0,109985278.0,1
2025-05-21,143699028.0,82441353.0,5
2025-05-22,144208543.0,109968743.0,1
2025-05-23,142622143.0,142622143.0,0
2025-05-26,142622143.0,142622143.0,0
2025-05-27,142622143.0,81702392.0,5
2025-05-28,142331943.0,108531375.0,1
2025-05-29,142086387.0,81431794.0,5
2025-05-30,143353649.0,75359549.0,2
2025-06-02,142326649.0,74340049.0,2
2025-06-03,143472149.0,74568849.0,2
2025-06-04,143472149.0,74568849.0,2
2025-06-05,153894149.0,80833749.0,2
2025-06-06,161095049.0,85988949.0,2
2025-06-09,161095049.0,85988949.0,2
2025-06-10,163430149.0,85790524.0,2
2025-06-11,165449867.0,86895735.0,2
2025-06-12,167784511.0,87839235.0,2
2025-06-13,170483839.0,88438039.0,2
2025-06-16,179621239.0,103056769.0,5
2025-06-17,180825615.0,180825615.0,0
2025-06-18,180825615.0,103550610.0,5
2025-06-19,181818735.0,103783995.0,5
2025-06-20,183690745.0,105784405.0,5
2025-06-23,184790485.0,106307485.0,5
2025-06-24,186400785.0,106728585.0,5
2025-06-25,187366435.0,98453135.0,2
2025-06-26,181096435.0,95153185.0,2
2025-06-27,182855985.0,104774485.0,5
2025-06-30,183176635.0,105190680.0,5
2025-07-01,180341524.0,94717274.0,2
2025-07-02,179812174.0,103161624.0,5
