Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
000080,KR7000080002,하이트진로,KOSPI,,18720,1,20,0.11,18770,18800,18690,219573,4112291985,1311498525700,70133611,STK
000670,KR7000670000,영풍,KOSPI,,68000,2,-200,-0.29,69300,70100,68000,45578,3130187200,1308928825000,19108450,STK
003380,KR7003380003,하림지주,KOSDAQ GLOBAL,우량기업부,11530,4,2660,29.99,9480,11530,9390,3495578,37254843140,1291424810130,112005621,KSQ
358570,KR7358570000,지아이이노베이션,KOSDAQ,기술성장기업부,20350,1,250,1.24,20600,20750,19990,668165,13595945155,1289394510750,63673803,KSQ
001120,KR7001120005,LX인터내셔널,KOSPI,,33250,1,850,2.62,32550,33650,32200,224362,7434249025,1288770000000,38760000,STK
249420,KR7249420001,일동제약,KOSPI,,40500,1,8000,24.62,33950,42000,33550,23286142,903068852275,1286094943800,31638252,STK
466100,KR7466100005,클로봇,KOSDAQ,기술성장기업부,51400,2,-500,-0.96,52000,52500,49550,4854284,248613815175,1284595944600,24992139,KSQ
082270,KR7082270000,젬백스,KOSDAQ,벤처기업부,29800,2,-1250,-4.03,31100,31250,29300,1357450,40463433825,1254755632800,42390393,KSQ
456160,KR7456160001,지투지바이오,KOSDAQ,기술성장기업부,77100,2,-100,-0.13,78400,80100,76900,877175,68834676350,1253535438600,16258566,KSQ
000500,KR7000500009,가온전선,KOSPI,,75600,1,1200,1.61,74700,78100,74700,61795,4744303000,1250659494000,16543115,STK
120110,KR7120110002,코오롱인더,KOSPI,,45100,2,-1650,-3.53,47250,47550,45100,371452,17067343150,1245238867750,27519091,STK
071320,KR7071320006,지역난방공사,KOSPI,,106300,2,-1800,-1.67,107700,109300,106300,25184,2689531850,1235451984800,11578744,STK
001430,KR7001430008,세아베스틸지주,KOSPI,,34450,2,-500,-1.43,35000,37500,34100,455529,16182935875,1233656893600,35862119,STK
415640,KR7415640002,KB발해인프라,KOSPI,,9990,1,70,0.71,9940,9990,9800,329927,3269226040,1223004569040,122545548,STK
185750,KR7185750007,종근당,KOSPI,,88200,1,1600,1.85,87200,88900,87000,64703,5711473650,1218785474000,13802780,STK
004000,KR7004000006,롯데정밀화학,KOSPI,,46700,2,-700,-1.48,47800,47800,46600,58625,2751820450,1208730000000,25800000,STK
