symbol,regime,net_expectancy,trades,win_rate,cost_avg
005930,UNCERTAIN,-0.0027999999999999995,738,0.0,0.0027999999999999995
005930,UNCERTAIN,-0.0027999999999999995,738,0.0,0.0027999999999999995
005930,UNCERTAIN,-0.0027999999999999995,738,0.0,0.0027999999999999995
005930,PANIC,-0.0027999999999999995,738,0.0,0.0027999999999999995
005930,PANIC,0.0,738,1.0,0.0027999999999999995
005930,PANIC,0.0,738,1.0,0.0027999999999999995
005930,PANIC,0.0,738,1.0,0.0027999999999999995
005930,PANIC,0.0,738,1.0,0.0027999999999999995
005930,PANIC,0.0,738,1.0,0.0027999999999999995
005930,UNCERTAIN,-0.0027798912119313133,369,0.2222222222222222,0.0027999999999999995
005930,UNCERTAIN,-0.0027798912119313133,369,0.2222222222222222,0.0027999999999999995
005930,UNCERTAIN,-0.0027798912119313133,369,0.2222222222222222,0.0027999999999999995
005930,UNCERTAIN,-0.0027798912119313133,369,0.2222222222222222,0.0027999999999999995
005930,UNCERTAIN,-0.0027798912119313133,369,0.2222222222222222,0.0027999999999999995
005930,UNCERTAIN,-0.0027798912119313133,369,0.2222222222222222,0.0027999999999999995
005930,CHOP_LOWVOL,-0.0027798912119313133,369,0.2222222222222222,0.0027999999999999995
005930,CHOP_LOWVOL,-0.0027798912119313133,369,0.2222222222222222,0.0027999999999999995
005930,CHOP_LOWVOL,-0.0022483885618299476,61,0.26229508196721313,0.0027999999999999995
377300,TREND_DOWN,-0.00775049504950495,1,0.0,0.0028
377300,CHOP_HIGHVOL,-0.004511963821359916,102,0.3137254901960784,0.0028000000000000013
377300,CHOP_LOWVOL,-0.0027937504835036835,1324,0.24697885196374622,0.0028000000000000004
377300,PANIC,0.01501070241340766,23,0.391304347826087,0.0027999999999999995
298040,TREND_UP,-0.00236719486546549,5,0.4,0.0028
298040,CHOP_HIGHVOL,-0.00465465721269136,51,0.29411764705882354,0.0027999999999999995
298040,CHOP_LOWVOL,-0.0021396579030650113,1188,0.3055555555555556,0.0028
298040,PANIC,-0.001160539239595337,28,0.42857142857142855,0.0027999999999999995
402340,TREND_UP,0.009407402918426426,5,0.8,0.0028
402340,TREND_DOWN,0.005952387014640357,2,0.5,0.0028
402340,CHOP_HIGHVOL,-0.00017722336537099237,92,0.358695652173913,0.0028000000000000004
402340,CHOP_LOWVOL,-0.0024977294929549535,1193,0.28415758591785417,0.0028
402340,PANIC,-0.006162226181239473,24,0.20833333333333334,0.0028
047050,TREND_UP,0.0006297052154195007,2,0.5,0.0028
047050,CHOP_HIGHVOL,-0.0006111888544761946,49,0.3877551020408163,0.0028
047050,CHOP_LOWVOL,-0.0028045565215237215,1286,0.2620528771384137,0.0028000000000000004
047050,PANIC,-0.005160214537135117,15,0.26666666666666666,0.002799999999999999
307950,TREND_UP,0.028979781482980842,8,0.5,0.0028
307950,TREND_DOWN,0.0030517555266579978,1,1.0,0.0028
307950,CHOP_HIGHVOL,-0.004150070779300916,32,0.21875,0.0028
307950,CHOP_LOWVOL,-0.002745888865217214,1158,0.2970639032815199,0.0028
307950,PANIC,-0.0001433286574327704,29,0.4827586206896552,0.0027999999999999995
005930,TREND_UP,-0.0074605362535232755,3,0.0,0.0028
005930,TREND_DOWN,-0.00381010101010101,1,0.0,0.0028
005930,CHOP_LOWVOL,-0.0026992349518661168,1508,0.2738726790450928,0.0028000000000000004
005930,PANIC,-0.002894057664812356,8,0.375,0.0028
003550,TREND_UP,0.0029513003172026366,2,1.0,0.0028
003550,CHOP_HIGHVOL,-0.01749335813799782,3,0.0,0.0028
003550,CHOP_LOWVOL,-0.0029625411911186773,1616,0.25123762376237624,0.0027999999999999995
003550,PANIC,-0.00325009263680553,20,0.3,0.0027999999999999995
005490,CHOP_LOWVOL,-0.0030057813927671356,1471,0.2515295717199184,0.0028
005490,PANIC,0.002614611563876761,10,0.6,0.0028
000880,TREND_UP,0.01634644432779556,4,0.5,0.0028
000880,TREND_DOWN,0.0025603335318642047,1,1.0,0.0028
000880,CHOP_HIGHVOL,-0.003705838502530367,65,0.38461538461538464,0.0028
