symbol,total_return,net_expectancy,gross_expectancy,cost_avg,win_rate,mdd,trades,trades_per_day,run_id
005930,-0.6708357360011036,0.0,0.0,0.0,0.0,0.0,0,0.0,verify_turbo_v3_005930_20251214_201038
005930,-0.6708357360011036,0.0,0.0,0.0,0.0,0.0,0,0.0,verify_turbo_v3_005930_20251214_203031
005930,-0.6708357360011036,-0.0027999999999999995,0.0,0.0027999999999999995,0.0,-0.6751891095687708,738,738.0,verify_turbo_v3_005930_20251214_203149
005930,-0.6708357360011036,-0.0027999999999999995,0.0,0.0027999999999999995,0.0,-0.6751891095687708,738,738.0,verify_turbo_v3_005930_20251214_203925
005930,-0.6708357360011036,-0.0027999999999999995,0.0,0.0027999999999999995,0.0,-0.6751891095687708,738,738.0,verify_turbo_v3_005930_20251214_204116
005930,-0.6708357360011036,-0.0027999999999999995,0.0,0.0027999999999999995,0.0,-0.6751891095687708,738,738.0,verify_turbo_v3_005930_20251214_204318
005930,-0.6708357360011036,0.0,0.0027999999999999995,0.0027999999999999995,1.0,-0.6751891095687708,738,738.0,verify_turbo_v3_005930_20251214_205034
005930,-0.6708357360011036,0.0,0.0027999999999999995,0.0027999999999999995,1.0,-0.6751891095687708,738,738.0,verify_turbo_v3_005930_20251214_205245
005930,-0.6708357360011036,0.0,0.0027999999999999995,0.0027999999999999995,1.0,-0.6751891095687708,738,738.0,verify_turbo_v3_005930_20251214_205448
005930,-0.6708357360011036,0.0,0.0027999999999999995,0.0027999999999999995,1.0,-0.6751891095687708,738,738.0,verify_turbo_v3_005930_20251214_205638
005930,-0.6708357360011036,0.0,0.0027999999999999995,0.0027999999999999995,1.0,-0.6751891095687708,738,738.0,verify_turbo_v3_005930_20251214_205758
005930,-0.6708357360011036,-0.0027798912119313133,2.0108788068686064e-05,0.0027999999999999995,0.2222222222222222,-0.6751891095687708,369,369.0,verify_turbo_v3_005930_20251214_205942
005930,-0.6708357360011036,-0.0027798912119313133,2.0108788068686064e-05,0.0027999999999999995,0.2222222222222222,-0.6751891095687708,369,369.0,verify_turbo_v3_005930_20251214_210723
005930,-0.6708357360011036,-0.0027798912119313133,2.0108788068686064e-05,0.0027999999999999995,0.2222222222222222,-0.6751891095687708,369,369.0,verify_turbo_v3_005930_20251214_213628
