symbol,entry_time,exit_time,entry_price,exit_price,qty,pnl,return_pct,exit_reason
042660,2025-06-04 09:00:00,2025-06-04 15:35:00,77500,76800,1290,-1102047.0,-0.00903225806451613,"Smart Swing Exit (S:1.34, P:-0.9%)"
042660,2025-06-05 09:00:00,2025-06-09 15:35:00,77500,75600,1277,-2621808.7,-0.024516129032258065,"Smart Swing Exit (S:1.30, P:-2.5%)"
042660,2025-06-10 09:00:00,2025-06-16 09:00:00,76200,84100,1266,9798460.2,0.1036745406824147,Allocation 0
034020,2025-06-16 09:00:00,2025-06-17 09:00:00,55500,62500,1916,13185912.0,0.12612612612612611,Allocation 0
042660,2025-06-17 09:00:00,2025-06-18 09:00:00,87500,91400,1365,5079301.5,0.044571428571428574,Allocation 0
034020,2025-06-18 09:00:00,2025-08-20 15:35:00,58900,51100,2112,-16705920.0,-0.13242784380305603,Stop Loss
034020,2025-08-21 09:00:00,2025-11-07 09:00:00,58200,76000,1848,32646398.4,0.30584192439862545,Allocation 0
034020,2025-11-11 09:00:00,2025-11-11 15:35:00,80000,78200,1751,-3428808.2,-0.0225,"Smart Swing Exit (S:1.42, P:-2.2%)"
034020,2025-11-12 09:00:00,2025-11-12 15:35:00,78900,78400,1733,-1139100.9,-0.0063371356147021544,"Smart Swing Exit (S:1.34, P:-0.6%)"
034020,2025-11-13 10:00:00,2025-11-14 15:35:00,78900,78400,1721,-1131213.3,-0.0063371356147021544,"Smart Swing Exit (S:1.13, P:-0.6%)"
034020,2025-11-17 09:00:00,2025-11-17 15:35:00,79200,78800,1702,-949716.0,-0.005050505050505051,"Smart Swing Exit (S:1.03, P:-0.5%)"
034020,2025-11-18 09:00:00,2025-11-18 15:35:00,77100,75400,1737,-3217792.5,-0.02204928664072633,"Smart Swing Exit (S:1.03, P:-2.2%)"
003670,2025-11-21 09:00:00,2025-11-21 15:35:00,192800,192500,678,-464633.4,-0.0015560165975103733,"Smart Swing Exit (S:1.19, P:-0.2%)"
051910,2025-11-24 09:00:00,2025-11-24 15:35:00,369000,358500,340,-3817350.0,-0.028455284552845527,"Smart Swing Exit (S:0.96, P:-2.8%)"
034020,2025-11-26 09:00:00,2025-11-27 09:00:00,74600,79400,1700,7898200.0,0.064343163538874,Allocation 0
051910,2025-11-27 09:00:00,2025-11-28 09:00:00,394500,396500,341,412269.0,0.005069708491761723,Allocation 0
009150,2025-11-28 09:00:00,2025-11-28 15:35:00,253000,251000,534,-1337136.0,-0.007905138339920948,"Smart Swing Exit (S:1.04, P:-0.8%)"
051910,2025-12-01 09:00:00,2025-12-01 15:30:00,378000,372000,318,-2146500.0,-0.015873015873015872,"Smart Swing Exit (S:0.90, P:-1.6%)"
