,equity
2025-10-01 12:21:00+09:00,100000000.0
2025-10-01 12:22:00+09:00,99960000.0
2025-10-01 12:23:00+09:00,99659303.82466695
2025-10-01 12:24:00+09:00,99745217.01761924
2025-10-01 12:25:00+09:00,99788173.61409539
2025-10-01 12:26:00+09:00,100002956.59647612
2025-10-01 12:27:00+09:00,100002956.59647612
2025-10-01 12:28:00+09:00,100002956.59647612
2025-10-01 12:29:00+09:00,99831130.21057153
2025-10-01 12:30:00+09:00,99616347.22819078
2025-10-01 12:31:00+09:00,99401564.24581003
2025-10-01 12:32:00+09:00,99487477.43876232
2025-10-01 12:33:00+09:00,99659303.82466693
2025-10-01 12:34:00+09:00,99401564.24581003
2025-10-01 12:35:00+09:00,98971998.28104854
2025-10-01 12:36:00+09:00,99229737.85990544
2025-10-01 12:37:00+09:00,98961817.56768368
2025-10-01 12:38:00+09:00,98961817.56768368
2025-10-01 12:39:00+09:00,98961817.56768368
2025-10-01 12:40:00+09:00,98961817.56768368
2025-10-01 12:41:00+09:00,98961817.56768368
2025-10-01 12:42:00+09:00,98961817.56768368
2025-10-01 12:43:00+09:00,98961817.56768368
2025-10-01 12:44:00+09:00,98961817.56768368
2025-10-01 12:45:00+09:00,98961817.56768368
2025-10-01 12:46:00+09:00,98961817.56768368
2025-10-01 12:47:00+09:00,98961817.56768368
2025-10-01 12:48:00+09:00,98961817.56768368
2025-10-01 12:49:00+09:00,98961817.56768368
2025-10-01 12:50:00+09:00,98961817.56768368
2025-10-01 12:51:00+09:00,98961817.56768368
2025-10-01 12:52:00+09:00,98961817.56768368
2025-10-01 12:53:00+09:00,98961817.56768368
2025-10-01 12:54:00+09:00,98961817.56768368
2025-10-01 12:55:00+09:00,98961817.56768368
2025-10-01 12:56:00+09:00,98961817.56768368
2025-10-01 12:57:00+09:00,98961817.56768368
2025-10-01 12:58:00+09:00,98961817.56768368
2025-10-01 12:59:00+09:00,98961817.56768368
2025-10-01 13:00:00+09:00,98961817.56768368
2025-10-01 13:01:00+09:00,98961817.56768368
2025-10-01 13:02:00+09:00,98922232.84065661
2025-10-01 13:03:00+09:00,98583747.8694311
2025-10-01 13:04:00+09:00,98583747.8694311
2025-10-01 13:05:00+09:00,98922232.84065661
2025-10-01 13:06:00+09:00,98837611.59785023
2025-10-01 13:07:00+09:00,99006854.08346298
2025-10-01 13:08:00+09:00,99006854.08346298
2025-10-01 13:09:00+09:00,98837611.59785023
2025-10-01 13:10:00+09:00,98668369.11223748
2025-10-01 13:11:00+09:00,99091475.32626937
2025-10-01 13:12:00+09:00,99091475.32626937
2025-10-01 13:13:00+09:00,98752990.35504386
2025-10-01 13:14:00+09:00,99006854.08346298
2025-10-01 13:15:00+09:00,98837611.59785023
